case,timestamp,source,info
8,03-04-24 15:04:05.5,s3,PouringCompleted
8,03-04-24 15:04:05.5,lgpB,StartTransfer
8,03-04-24 15:04:05.5,s1,PouringCompleted
8,03-04-24 15:04:05.5,s4,FillingCompleted
8,03-04-24 15:04:05.5,lgpA,TransferCompleted
8,03-04-24 15:04:05.5,s1,StartFilling
8,03-04-24 15:04:05.5,s4,StartHeating
8,03-04-24 15:04:08.8,s4,HeatingCompleted
8,03-04-24 15:04:08.8,s4,StartMixing
8,03-04-24 15:04:08.8,s2,PouringCompleted
8,03-04-24 15:04:08.8,s3,FillingCompleted
8,03-04-24 15:04:08.8,lgpB,TransferCompleted
8,03-04-24 15:04:11.11,s1,FillingCompleted
8,03-04-24 15:04:14.14,s4,MixingCompleted
8,03-04-24 15:04:14.14,s3,StartMixing
8,03-04-24 15:04:14.14,s4,PouringStarted
8,03-04-24 15:04:17.17,s3,MixingCompleted
8,03-04-24 15:04:17.17,s3,PouringStarted
8,03-04-24 15:04:20.20,s3,PouringCompleted
8,03-04-24 15:04:20.20,s4,PouringCompleted
8,03-04-24 15:04:20.20,lgpA,StartTransfer
8,03-04-24 15:04:26.26,s1,PouringCompleted
8,03-04-24 15:04:26.26,s4,FillingCompleted
8,03-04-24 15:04:26.26,lgpA,TransferCompleted
8,03-04-24 15:04:26.26,s4,StartHeating
8,03-04-24 15:04:29.29,s4,HeatingCompleted
8,03-04-24 15:04:29.29,s4,StartMixing
8,03-04-24 15:04:35.35,s4,MixingCompleted
8,03-04-24 15:04:35.35,s4,PouringStarted
8,03-04-24 15:04:41.41,s4,PouringCompleted
9,03-04-24 15:05:48.48,s2,StartFilling
9,03-04-24 15:05:48.48,s1,StartFilling
9,03-04-24 15:05:52.52,s1,FillingCompleted
9,03-04-24 15:05:52.52,lgpA,StartTransfer
9,03-04-24 15:05:55.55,s2,FillingCompleted
9,03-04-24 15:05:55.55,s2,StartHeating
9,03-04-24 15:05:55.55,s1,PouringCompleted
9,03-04-24 15:05:55.55,s4,FillingCompleted
9,03-04-24 15:05:55.55,lgpA,TransferCompleted
9,03-04-24 15:05:55.55,s1,StartFilling
9,03-04-24 15:05:55.55,s4,StartHeating
9,03-04-24 15:05:56.56,s4,HeatingCompleted
9,03-04-24 15:05:56.56,s4,StartMixing
9,03-04-24 15:05:57.57,s2,HeatingCompleted
9,03-04-24 15:05:57.57,lgpB,StartTransfer
9,03-04-24 15:05:58.58,s4,MixingCompleted
9,03-04-24 15:05:58.58,s4,PouringStarted
9,03-04-24 15:05:58.58,s1,FillingCompleted
9,03-04-24 15:06:01.1,s4,PouringCompleted
9,03-04-24 15:06:03.3,lgpA,StartTransfer
9,03-04-24 15:06:03.3,s2,PouringCompleted
9,03-04-24 15:06:03.3,s3,FillingCompleted
9,03-04-24 15:06:03.3,lgpB,TransferCompleted
9,03-04-24 15:06:03.3,s2,StartFilling
9,03-04-24 15:06:03.3,s3,StartMixing
9,03-04-24 15:06:06.6,s1,PouringCompleted
9,03-04-24 15:06:06.6,s4,FillingCompleted
9,03-04-24 15:06:06.6,lgpA,TransferCompleted
9,03-04-24 15:06:06.6,s4,StartHeating
9,03-04-24 15:06:07.7,s3,MixingCompleted
9,03-04-24 15:06:07.7,s3,PouringStarted
9,03-04-24 15:06:07.7,s4,HeatingCompleted
9,03-04-24 15:06:07.7,s4,StartMixing
9,03-04-24 15:06:09.9,s4,MixingCompleted
9,03-04-24 15:06:09.9,s4,PouringStarted
9,03-04-24 15:06:09.9,s2,FillingCompleted
9,03-04-24 15:06:09.9,s2,StartHeating
9,03-04-24 15:06:11.11,s2,HeatingCompleted
9,03-04-24 15:06:12.12,s4,PouringCompleted
9,03-04-24 15:06:13.13,s3,PouringCompleted
9,03-04-24 15:06:13.13,lgpB,StartTransfer
9,03-04-24 15:06:19.19,s2,PouringCompleted
9,03-04-24 15:06:19.19,s3,FillingCompleted
9,03-04-24 15:06:19.19,lgpB,TransferCompleted
9,03-04-24 15:06:19.19,s3,StartMixing
9,03-04-24 15:06:23.23,s3,MixingCompleted
9,03-04-24 15:06:23.23,s3,PouringStarted
9,03-04-24 15:06:29.29,s3,PouringCompleted
10,03-04-24 15:07:35.35,s2,StartFilling
10,03-04-24 15:07:35.35,s1,StartFilling
